Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,LogRuns,Span_Encoded
12,HH Gibbs (SA),1996-2010,248,240,16,8094,175,36.13,9721,78.16499999999999,21,37,22,930,128,8.999001866111735,6539.408813520011
13,Saeed Anwar (PAK),1989-2003,247,244,19,8824,194,39.21,10938,78.16499999999999,20,43,15,938,97,9.085343881801498,6634.387999805
14,BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,78.16499999999999,19,63,16,1042,133,9.250137841850249,6755.155617722884
15,DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.16499999999999,19,77,28,1119,76,9.44549154241467,7132.183022717829
16,DA Warner (AUS),2009-2020,128,126,6,5455,179,45.45,5710,78.16499999999999,18,23,2,571,85,8.604471199523298,6196.05254967606
17,ME Waugh (AUS),1988-2002,244,236,20,8500,173,39.35,11053,78.16499999999999,18,50,16,651,57,9.04793908261736,6592.232854111388
18,AJ Finch (AUS),2013-2020,132,128,3,5232,153*,41.85,5917,78.16499999999999,17,29,11,518,126,8.562740006372207,6167.038359893111
19,S Dhawan (INDIA),2010-2021,145,142,8,6105,143,45.55,6509,78.16499999999999,17,33,5,763,72,8.717027173294824,5947.1580282796585
20,DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,78.16499999999999,17,57,13,768+,53+,9.065198986306513,6611.488908317112
21,JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,911,137,9.357034751126987,6992.836846675058
22,Q de Kock (SA),2013-2021,124,124,6,5355,178,45.38,5609,95.47,16,26,4,614,81,8.585972706811063,5961.454916263153
23,JE Root (ENG),2013-2021,152,142,23,6109,133*,51.33,7034,86.84,16,35,5,491,44,8.71768205216564,5961.454916263153
24,MJ Guptill (NZ),2009-2021,186,183,19,6927,237*,42.23,7896,87.72,16,37,15,702,181,8.843326450242271,6387.572223938392
25,NJ Astle (NZ),1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19,720,86,8.866581653303996,6408.779905259561
26,AC Gilchrist (AUS/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,1162,149,9.171599543659752,6737.824236923583
27,WU Tharanga (Asia/SL),2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17,798,52,8.846784666945227,6390.694827323105
28,V Sehwag (Asia/ICC/INDIA),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14,1132,136,9.020873347021357,6562.698230430988
29,Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,785,90,9.18204377282107,6750.9651928342455
30,Babar Azam (PAK),2015-2021,83,81,11,3985,158,56.92,4449,89.57,14,17,3,360,41,8.29054350077274,5954.33543082718
31,Tamim Iqbal (BAN),2007-2021,219,217,9,7666,158,36.85,9753,78.6,14,51,19,831,98,8.944680683558895,6608.836244278031
32,EJG Morgan (ENG/IRE),2006-2021,246,228,34,7701,148,39.69,8439,91.25,14,47,16,654,220,8.949235314374855,6388.819745330311
33,Yuvraj Singh (Asia/INDIA),2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18,908,155,9.071308163280625,6618.384657458351
34,KS Williamson (NZ),2010-2020,151,144,14,6173,148,47.48,7551,81.75,13,39,5,563,49,8.728102205062104,6160.5868791924895
35,G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,659,20,8.82453082152646,6370.788230745566
36,ME Trescothick (ENG),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13,528,41,8.374707543119483,6050.331058389502
37,PR Stirling (IRE),2008-2021,134,131,3,4982,177,38.92,5787,86.08,12,26,10,533,112,8.513787398281405,6333.681609940357
38,F du Plessis (SA),2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,495,66,8.613956859848546,6202.818190342936
39,R Dravid (Asia/ICC/INDIA),1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,950,42,9.295600215927006,6903.0619993645905
40,JM Bairstow (ENG),2011-2021,89,81,8,3498,141*,47.91,3331,105.01,11,14,6,391,89,8.160232492367689,5941.4302653476725
41,SPD Smith (AUS),2010-2020,128,113,12,4378,164,43.34,4947,88.49,11,25,5,377,42,8.384575666801398,6160.5868791924895
42,CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,470+,81+,8.543835122362658,6253.073773507607
43,WTS Porterfield (IRE),2006-2021,145,142,3,4317,139,31.05,6259,68.97,11,20,10,452,31,8.370547611074752,6388.819745330311
44,G Gambhir (INDIA),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,561,17,8.56388591940822,6167.819010739289
